Company Name,FOUNDED,BUSINESS MODEL,EMPLOYEES,FUNDING STAGE,RAISED,PRODUCT STAGE,Funding stage,Total raised,Total rounds,Investors,Current Round,Funding in Current Round,TAGS
NSO Group,                              12/2009,B2G,500+,Seed,                 $1.6M,Released,Seed,1.6M,1,2,Seed,$1.6M,"['drones' 'intelligence' 'public-safety' 'vulnerability-assessment'
 'mobile-security' 'cyber-security' 'coronavirus' 'threat-intelligence'
 'cyber-intelligence' 'analytics' 'artificial-intelligence'
 'cyber-warfare' 'penetration-tests']"
Asparna,                              1/2010,B2B,1-10,Revenue Financed,                 $4.05M,Beta,Revenue Financed,4.05M,3,0,Convertible Debt,$1.7M,"['smart-mobility' 'blockchain' 'monitoring' 'collaboration' 'file-sharing'
 'mobile-devices' 'cyber-security' 'cross-platform' 'chat'
 'privacy-protection' 'research']"
Elefend Security,                              7/2019,"B2B, B2C",1-10,Bootstrapped,,Beta,,,,,,,"['voice-analytics' 'monitoring' 'identity-verification' 'anti-fraud'
 'artificial-intelligence' 'cyber-security']"
FortifyIQ,                              3/2020,B2B,11-50,Bootstrapped,,Customer development,,,,,,,"['patent-pending' 'enterprise-solutions' 'vulnerability-management'
 'cyber-security' 'hardware' 'chips-design' 'semiconductors'
 'cryptography']"
Talon Cyber Security,                              2/2021,B2B,1-10,Seed,                 $26M,R&D,Seed,26M,1,3,Seed,$26M,['enterprise-solutions' 'cloud-security' 'remote' 'cyber-security']
Cybring Labs,                              10/2017,"B2B, B2C, B2G, B2B2C",1-10,Bootstrapped,,Alpha,,,,,,,"['threat-intelligence' 'behavior-analytics' 'network-security'
 'artificial-intelligence' 'cyber-security' 'enterprise-security'
 'data-protection' 'training' 'penetration-tests' 'enterprise-solutions'
 'machine-learning' 'iot']"
ARTcybe,                              11/2017,B2B,1-10,Bootstrapped,,Customer development,,,,,,,"['clinical-workflow' 'artificial-intelligence' 'healthcare-it'
 'threat-detection' 'cyber-security' 'medical-devices' 'medical-equipment'
 'data-protection' 'machine-learning' 'digital-healthcare'
 'vulnerability-management' 'behavior-analytics' 'medical-technologies']"
Riskified,                              11/2012,B2B,201-500,Public,                 $228.7M,Released,Public,228.7M,5,17,E Round,$165M,"['anti-fraud' 'online-shopping' 'payments' 'enterprise-solutions'
 'transactions' 'deep-learning' 'artificial-intelligence' 'ecommerce'
 'behavior-analytics' 'security' 'machine-learning'
 'software-applications' 'cyber-security' 'fintech' 'risk-management']"
Blaick Technologies,                              6/2016,"B2B, B2G",1-10,Seed,,Released,Seed,0,2,2,Seed,,"['enterprise-security' 'security' 'endpoint-security' 'cloud-security'
 'artificial-intelligence' 'machine-learning' 'saas' 'patent-pending'
 'firewall' 'cyber-security' 'malware' 'mobile-security'
 'homeland-security' 'enterprise-solutions' 'website-security' 'phishing']"
Millworx,                              1/2019,B2B,1-10,Bootstrapped,,Customer development,,,,,,,['cyber-security']
DoControl,                              6/2020,B2B,11-50,ROUND A,                 $13.5M,Released,A,13.5M,2,4,A Round,$10M,"['network-security' 'cyber-security' 'data-protection'
 'enterprise-solutions']"
Secret Double Octopus,                              5/2015,"B2B, B2G",11-50,ROUND B,                 $22.5M,Released,B,22.5M,5,11,Undisclosed Round,,"['anti-fraud' 'enterprise-solutions' 'multi-factor-authentication'
 'mobile-applications' 'security' 'authentication' 'cloud-security'
 'encryption' 'quarantine' 'data-protection' 'iot' 'cyber-security'
 'cross-platform' 'network-security']"
Duality Technologies,                              9/2016,B2B,11-50,ROUND B,                 $50M,Released,B,50M,3,6,B Round,$30M,"['coronavirus' 'data-protection' 'privacy-protection' 'cryptography'
 'encryption' 'data-analytics' 'collaboration' 'homomorphic-encryption'
 'artificial-intelligence' 'cyber-security' 'compliance'
 'enterprise-solutions' 'open-banking' 'machine-learning' 'authentication']"
Akita,                              1/2016,"B2B, B2C, B2B2C",11-50,Seed,                 $900K,Released,Seed,900K,2,2,Crowdfunding,$900K,"['blockchain' 'connected-devices' 'machine-learning' 'smart-home'
 'iot-platform' 'iot-security' 'cyber-security' 'threat-intelligence'
 'artificial-intelligence' 'iot' 'mobile-applications'
 'behavior-analytics' 'patent-pending']"
SeeMetrics,                              7/2021,B2B,1-10,Pre-Seed,,Released,,,,,,,['cyber-security']
Cervello,                              9/2018,"B2B, B2G",11-50,Seed,                 $4.5M,Released,Seed,4.5M,1,3,Seed,$4.5M,"['cyber-security' 'smart-mobility' 'fleet-management' 'orchestration'
 'risk-assesments' 'threat-intelligence' 'iot' 'trains'
 'public-transportation' 'threat-detection' 'network-security'
 'homeland-security']"
CYMOTIVE Technologies,                              9/2016,B2B,51-200,Established,,Released,,,,,,,"['connected-vehicles' 'risk-assesments' 'driver-safety' 'ids'
 'cyber-security' 'smart-mobility']"
Enso Security,                              8/2020,B2B,11-50,Seed,                 $6M,Released,Seed,6M,1,6,Seed,$6M,['cyber-security' 'application-security' 'saas' 'asset-management']
Waterfall Security Solutions,                              12/2006,"B2B, B2G",51-200,Seed,                 $3M,Released,Seed,3M,1,0,Seed,$3M,"['smart-mobility' 'network-security' 'perimeter-security' 'transportation'
 'industry-4.0' 'cyber-insurance' 'homeland-security' 'control-systems'
 'remote-monitoring' 'cyber-security' 'power-plants'
 'critical-infastructure' 'hardware' 'scada' 'trains'
 'public-transportation']"
Cyronix,             2019,B2B,11-50,Bootstrapped,,R&D,,,,,,,['penetration-tests' 'cyber-security' 'cloud']
Perytons,                              1/2007,"B2B, B2G",1-10,Revenue Financed,                 $58K,Released,Revenue Financed,58K,1,0,Grant,$58K,"['parking' 'network-security' 'smart-city' 'big-data-analytics'
 'vulnerability-assessment' 'anomaly-detection' 'iot'
 'communication-protocols' 'telecommunication' 'network-management'
 'mobile-networks' 'sensors' 'smart-farming' 'wireless-communication'
 'cyber-security' 'connected-devices']"
MyPrivacy,                              5/2012,B2C,1-10,ROUND A,                 $3.5M,Released,A,3.5M,2,4,A Round,$2.5M,"['cyber-security' 'privacy-protection' 'data-protection' 'cloud'
 'authorization' 'identity-verification' 'endpoint-security'
 'mobile-applications']"
PixMole Technologies,                              1/2019,B2B,1-10,Bootstrapped,,Released,,,,,,,"['machine-learning' 'digital-media' 'copyright-protection'
 'enterprise-solutions' 'cyber-security' 'privacy-protection' 'monitoring']"
Satori Cyber,                              9/2019,"B2B, B2G",51-200,ROUND A,                 $25.25M,Beta,A,25.25M,2,3,A Round,$20M,"['cyber-security' 'hybrid' 'cloud-security' 'data-storage'
 'anomaly-detection' 'real-time' 'enterprise-security' 'cloud'
 'compliance' 'data-protection']"
SensePass,                              4/2017,"B2B, B2B2C",1-10,Seed,                 $3.3M,Released,Seed,3.3M,1,1,Seed,$3.3M,"['point-of-sale' 'enterprise-solutions' 'data-protection' 'patent-pending'
 'location-based' 'personal-finance' 'tokenization' 'fintech'
 'retail-technology' 'iot' 'connectivity' 'customer-engagement'
 'authentication' 'notifications' 'payments' 'mobile-applications'
 'cyber-security' 'bluetooth']"
PerimeterX,                              11/2014,B2B,51-200,ROUND C+,                 $151.5M,Released,C+,151.5M,6,11,D Round,$57M,"['mobile-applications' 'behavior-analytics' 'ecommerce' 'web-application'
 'bot-detection' 'mobile-security' 'anti-fraud' 'bots' 'ddos'
 'cyber-security' 'website-security' 'vulnerability-management']"
Reposify,                              5/2016,"B2B, B2G",11-50,Seed,,Released,Seed,0,1,2,Seed,,"['risk-management' 'digital-assets' 'ddos' 'data-mining' 'forensics'
 'vulnerability-assessment' 'cyber-security' 'search-engine'
 'supply-chain' 'api' 'asset-management' 'business-intelligence' 'iot']"
Nation-E,                              12/2012,"B2B, B2G",1-10,Revenue Financed,,Released,,,,,,,"['critical-infastructure' 'network-security' 'firewall' 'smart-buildings'
 'cyber-security' 'siem' 'scada' 'smart-grid'
 'energy-control-and-management' 'industry-4.0']"
Portnox,                              2/2007,"B2B, B2G",11-50,Revenue Financed,,Released,,,,,,,"['cyber-security' 'network-security' 'iot' 'access-control' 'iam'
 'virtualization' 'byod' 'network-management' 'connected-devices'
 'intelligence' 'soc' 'mobile-applications']"
Argus Cyber Security,                              2/2013,B2B,51-200,ROUND B,                 $30M,Released,B,30M,2,6,B Round,$26M,"['autonomous-vehicles' 'vulnerability-assessment' 'software-platform'
 'cyber-security' 'smart-mobility' 'connected-vehicles' 'dpi'
 'penetration-tests' 'cyber-intelligence' 'mobile-security' 'ips' 'ids'
 'security' 'cyber-threat-analysis']"
Cognni,                              9/2017,B2B,11-50,Seed,                 $4M,Released,Seed,4M,1,1,Seed,$4M,"['risk-management' 'cloud-security' 'enterprise-security'
 'data-governance' 'gdpr' 'artificial-intelligence' 'dlp' 'cloud'
 'data-protection' 'cyber-security' 'vulnerability-management'
 'compliance' 'file-security']"
QuantumLeap,                              1/2020,"B2B, B2G",1-10,Bootstrapped,,Customer development,,,,,,,"['solar-energy' 'communication-protocols' 'industry-4.0'
 'quantum-computing' 'cyber-security' 'energy' 'chemicals' 'iot-platform'
 'iot' 'communications' 'saas' 'space-research' 'space-tech'
 'optical-communication' 'logistics' 'hardware' 'iot-security'
 'energytech' 'home-iot' 'renewable-energy' 'enterprise-solutions'
 'cleantech' 'power-management' 'energy-saving' 'agtech']"
ClickCease,                              7/2014,B2B,11-50,Revenue Financed,,Released,,,,,,,"['tracking' 'cyber-security' 'behavior-analytics' 'analytics'
 'advertising' 'bot-detection' 'mobile-applications' 'anti-fraud' 'adtech'
 'automation']"
ECI Telecom,                              2/1961,"B2B, B2G",500+,Established,                 $222.5M,Released,Established,222.5M,3,5,Debt Financing,$32.5M,"['network-function-virtualization' 'siem' 'optronics' 'cyber-security'
 'enterprise-security' 'ids' 'telecommunication' 'smart-city' 'sdn'
 'broadband' 'ips' 'communications' 'network-management'
 'enterprise-networking' 'network-security']"
Alcide,                              7/2016,B2B,11-50,ROUND A,                 $12.2M,Released,A,12.2M,2,3,A Round,$7M,"['orchestration' 'cloud-services' 'vulnerability-assessment'
 'network-security' 'endpoint-security' 'compliance' 'aws'
 'enterprise-solutions' 'data-center-security' 'artificial-intelligence'
 'sdn' 'virtualization' 'cyber-security' 'enterprise-security'
 'cloud-security' 'firewall' 'containers' 'application-security'
 'monitoring' 'access-control' 'security' 'vulnerability-management']"
InCyber,                              6/2016,"B2B, B2C, B2G",1-10,Seed,                 $2M,Released,Seed,2M,1,1,Seed,$2M,"['enterprise-security' 'anti-fraud' 'cyber-security' 'auditing'
 'data-protection' 'insider-threat' 'compliance']"
Verifyoo,                              10/2015,"B2B, B2G",1-10,Seed,                 $2.2M,Beta,Seed,2.2M,4,1,Seed,$650K,"['biometrics' 'fintech' 'behavioral-biometrics' 'identity-verification'
 'behavior-analytics' 'authentication' 'cyber-security' 'iot'
 'access-control' 'payments' 'anti-fraud']"
AirEye,                              1/2019,"B2B, B2G",11-50,ROUND A,                 $8M,Released,A,8M,2,4,A Round,$8M,"['enterprise-solutions' 'saas' 'network-visibility' 'network-security'
 'wireless-control' 'enterprise-security' 'cyber-security']"
Silicom,                              4/1987,B2B,201-500,Public,,Released,,,,,,,"['encryption' 'telecommunication' 'switches' 'routing'
 'enterprise-solutions' 'sdn' 'oem' 'servers' 'social-networks'
 'cyber-security' 'telecommunication-equipment' 'network-security'
 'virtualization' 'networking' 'connectivity']"
Sodipass,                              1/2016,"B2B, B2G",1-10,Pre-Seed,,R&D,,,,,,,"['machine-learning' 'artificial-intelligence' 'biometrics'
 'cyber-security' 'deep-learning' 'mobile-security' 'encryption'
 'security' 'authentication']"
eLoomina,                              4/2019,B2B,1-10,Seed,                 $450K,R&D,Seed,450K,1,2,Seed,$450K,"['cyber-security' 'insider-threat' 'artificial-intelligence'
 'enterprise-solutions' 'behavior-analytics' 'software-applications'
 'workforce-management' 'enterprise-security' 'hr' 'risk-management'
 'data-analytics']"
Control's Force,                              1/2007,"B2B, B2G, B2B2C",1-10,Seed,                 $1.2M,Released,Seed,1.2M,2,3,Seed,$900K,"['blockchain' 'data-analytics' 'management-solutions'
 'artificial-intelligence' 'predictive-analytics' 'fintech' 'transactions'
 'saas' 'big-data' 'insider-threat' 'cyber-security' 'anti-fraud']"
CyberMDX,                              12/2016,B2B,51-200,ROUND A,                 $30M,Released,A,30M,3,4,Undisclosed Round,$20M,"['iot' 'connected-devices' 'machine-learning' 'clinical-workflow'
 'incident-response' 'artificial-intelligence' 'medical-devices'
 'monitoring' 'vulnerability-management' 'digital-healthcare'
 'cyber-security' 'threat-detection']"
Vdoo,                              7/2017,"B2B, B2G",51-200,ROUND B,                 $70M,Beta,B,70M,3,12,B Round,$25M,"['smart-city' 'industry-4.0' 'iot' 'penetration-tests' 'cyber-security'
 'smart-buildings' 'connected-devices' 'vulnerability-management'
 'smart-mobility' 'network-security' 'application-security-testing'
 'threat-intelligence' 'security']"
Israel Aerospace Industries,                              2/1953,"B2B, B2G",500+,Established,,Released,,,,,,,"['nanotechnology' 'combat' 'unmanned-aerial-systems' 'control-systems'
 'automation' 'space-tech' 'airports' 'mining' 'homeland-security'
 'electronic-manufacturing' 'robotics' 'coronavirus' 'cyber-security'
 'satellites' 'optronics']"
Cybersixgill,                              3/2014,"B2B, B2G",51-200,ROUND B,                 $20M,Released,B,20M,3,6,Undisclosed Round,,"['cyber-security' 'alert-system' 'behavior-analytics' 'intelligence'
 'incident-response' 'threat-intelligence' 'cyber-intelligence'
 'website-security' 'deep-web' 'vulnerability-management' 'dlp']"
SEGURO Cyber Industries,                              1/2015,"B2B, B2G",1-10,Bootstrapped,,Released,,,,,,,"['ddos' 'telecommunication' 'enterprise-security' 'mobile-applications'
 'cyber-security' 'encryption' 'mobile-security' 'byod']"
Cyber Meters Networks,                              4/2020,B2B,1-10,Pre-Seed,,Alpha,,,,,,,"['water-meters' 'threat-detection' 'electric-power' 'electric-vehicles'
 'iot-security' 'ot' 'cyber-security' 'iot']"
Orca Security,                              1/2019,B2B,51-200,ROUND C+,                 $631.5M,Released,C+,631.5M,5,14,C Round,$340M,"['unicorn' 'compliance' 'network-security' 'cyber-security'
 'network-visibility' 'iaas' 'aws' 'cloud-security' 'saas' 'containers'
 'cloud-services' 'hybrid-cloud' 'enterprise-solutions' 'data-protection'
 'paas']"
Telicomm,                              12/2016,"B2B, B2G",11-50,ROUND A,                 $1.77M,R&D,A,1.77M,3,5,A Round,$1.3M,"['wireless-communication' '5g-networks' 'telecommunication' 'video' 'iot'
 'patent-pending' 'cyber-security' 'cameras' 'smart-city']"
Arilou Technologies,                              9/2010,B2B,11-50,Revenue Financed,,Released,,,,,,,"['counselling-and-integration' 'autonomous-vehicles' 'security'
 'vulnerability-assessment' 'detection' 'iot' 'smart-mobility'
 'patent-pending' 'authentication' 'connected-vehicles' 'cyber-security'
 'penetration-tests']"
EdgeHawk Security,                              1/2020,B2B,1-10,Seed,                 $2.5M,Released,Seed,2.5M,1,1,Seed,$2.5M,['mobile-security' 'cloud-security' '5g-networks' 'cyber-security']
NetNut,                              2/2017,B2B,11-50,Bootstrapped,,Released,,,,,,,"['enterprise-solutions' 'brand-protection' 'network-security'
 'campaign-optimization' 'vpn' 'cyber-security' 'advertising']"
AC/DC_net,                              8/2006,B2B,1-10,Revenue Financed,,Released,,,,,,,"['cyber-security' 'data-protection' 'encryption'
 'counselling-and-integration' 'hardware']"
PlainID,                              7/2014,"B2B, B2G",51-200,ROUND A,                 $13M,Released,A,13M,2,8,A Round,$11M,"['authorization' 'network-security' 'authentication' 'orchestration'
 'access-control' 'iam' 'cyber-security' 'network-visibility'
 'cloud-based']"
AGAT Software,                              8/2013,"B2B, B2G",11-50,Revenue Financed,,Released,,,,,,,"['encryption' 'collaboration' 'cyber-security' 'authentication'
 'threat-detection' 'mobile-security' 'cloud-security'
 'multi-factor-authentication' 'enterprise-solutions' 'dlp'
 'access-control' 'ddos' 'iam' 'pki']"
DocAuthority,                              4/2013,"B2B, B2G",11-50,ROUND A,                 $15.85M,Released,A,15.85M,3,8,A Round,$3.25M,"['data-analytics' 'dlp' 'data-management' 'cyber-security'
 'data-governance' 'file-security' 'artificial-intelligence'
 'data-protection']"
NanoLock Security,                              3/2017,B2B,11-50,ROUND B,                 $18.2M,Released,B,18.2M,5,4,B Round,$8.2M,"['iot-security' 'smart-city' 'endpoint-security' 'cyber-security'
 'industry-4.0' 'data-protection' 'threat-intelligence'
 'enterprise-security' 'smart-grid' 'ransomware' 'connected-devices'
 'critical-infastructure']"
Mitiga,                              7/2019,B2B,11-50,ROUND A,                 $32M,Released,A,32M,2,8,A Round,$25M,"['cloud-security' 'enterprise-solutions' 'incident-response'
 'threat-intelligence' 'cyber-security']"
WhiteSource,                              5/2011,"B2B, B2G",201-500,ROUND C+,                 $121M,Released,C+,121M,4,7,D Round,$75M,"['enterprise-solutions' 'application-security-testing' 'cloud-security'
 'enterprise-security' 'cloud' 'open-source' 'saas' 'compliance'
 'due-diligence' 'cyber-security' 'application-security'
 'software-lifecycle-managment']"
Enigma,                              6/2016,B2B,11-50,Seed,                 $46.35M,Beta,Seed,46.35M,3,5,Undisclosed Round,,"['blockchain' 'transactions' 'cryptography' 'fintech' 'cyber-security'
 'bitcoin' 'ethereum' 'encryption' 'data-protection' 'privacy-protection']"
Cybereason,                              7/2012,B2B,500+,ROUND C+,                 $713.6M,Released,C+,713.6M,7,7,F Round,$50M,"['apt' 'mdr' 'monitoring' 'ids' 'ransomware' 'mobile-security'
 'cyber-security' 'network-security' 'threat-detection' 'malware'
 'enterprise-solutions' 'threat-intelligence' 'incident-response'
 'unicorn' 'machine-learning' 'behavior-analytics' 'security'
 'artificial-intelligence' 'big-data-analytics' 'endpoint-security'
 'forensics' 'enterprise-security' 'edr' 'threat-hunting']"
beame.io,                              8/2015,"B2B, B2C",11-50,Seed,,Released,,,,,,,"['identity-verification' 'mobile-devices' 'sdk' 'pki' 'mobile-security'
 'connectivity' 'cyber-security' 'data-protection' 'patent-pending'
 'cryptography' 'encryption' 'privacy-protection' 'mobile-applications'
 'blockchain' 'presentations']"
Reason Cybersecurity,                              1/2012,"B2B, B2C",11-50,Revenue Financed,,Released,,,,,,,"['safe-browsing' 'cyber-security' 'threat-detection' 'threat-intelligence'
 'privacy-protection' 'real-time' 'malware' 'website-security'
 'ransomware' 'endpoint-security']"
SENSE,                              2/2014,"B2B, B2G, B2B2C",1-10,Seed,                 $890K,Released,Seed,890K,4,3,Pre-Seed,$50K,"['sensors' 'soc' 'data-visualization' 'iot' 'cognitive' 'infrastructure'
 'big-data-analytics' 'homeland-security' 'machine-learning'
 'perimeter-security' 'border-security' 'siem' 'critical-infastructure'
 'enterprise-security' 'cyber-security' 'network-security' 'big-data'
 'incident-response' 'data-mining' 'artificial-intelligence'
 'enterprise-solutions' 'events' 'cloud-security' 'healthcare' 'security'
 'smart-city']"
TrulyProtect,                              1/2012,B2B,1-10,Revenue Financed,                 $1.41M,Released,Revenue Financed,1.41M,1,0,Grant,$1.41M,"['secure-coding' 'endpoint-security' 'virtualization' 'drm'
 'game-development' 'privacy-protection' 'application-security'
 'encryption' 'data-protection' 'app-development' 'cyber-security'
 'intellectual-property']"
BLST Security,                              2/2021,B2B,1-10,Bootstrapped,,R&D,,,,,,,"['cyber-security' 'deep-neural-networks' 'api' 'cloud-based'
 'enterprise-solutions' 'machine-learning' 'enterprise-security'
 'security' 'artificial-intelligence' 'application-security'
 'anomaly-detection' 'penetration-tests']"
Gita Technologies,                              5/2000,"B2B, B2G",11-50,Revenue Financed,,Released,,,,,,,"['intelligence' 'surveillance' 'cyber-warfare' 'encryption'
 'homeland-security' 'sigint' 'signal-processing' 'cyber-security']"
Cywareness,                              3/2020,B2B,1-10,Bootstrapped,,Beta,,,,,,,"['knowledge-technology' 'cyber-security' 'enterprise-security'
 'simulators' 'data-protection' 'employee-training']"
Plexivo,                              2/2018,B2B,1-10,Bootstrapped,,R&D,,,,,,,['iot' 'cyber-warfare' 'simulation' 'games' 'training' 'cyber-security']
Terafence,                              11/2015,"B2B, B2G",11-50,Seed,                 $2M,Released,Seed,2M,2,1,Seed,$2M,"['smart-buildings' 'network-security' 'patent-pending' 'cyber-security'
 'medical-devices' 'chips-design' 'connectivity' 'iot' 'industry-4.0'
 'enterprise-solutions' 'connected-devices' 'enterprise-security']"
Ekron Software,                              10/2020,"B2B, B2G",11-50,Bootstrapped,,R&D,,,,,,,['smart-city' 'proptech' 'cyber-security']
YazamTech,                              3/2008,"B2B, B2G",1-10,Revenue Financed,,Released,,,,,,,"['ids' 'apt' 'network-security' 'zero-day' 'ransomware' 'spear-phishing'
 'cdr' 'hardware' 'file-security' 'cyber-security' 'dlp']"
Imvision,                              1/2016,B2B,11-50,ROUND A,                 $4M,Released,A,4M,1,2,A Round,$4M,"['behavior-analytics' 'enterprise-security' 'virtualization'
 'mobile-networks' 'enterprise-solutions' 'api'
 'natural-language-processing' 'ids' 'network-security' 'fintech'
 'machine-learning' 'telecommunication' 'cloud-security' 'sdn'
 'cyber-security' 'anomaly-detection' 'isolation' 'smart-mobility'
 'artificial-intelligence' 'application-security']"
Sital Technology,             1993,"B2B, B2G",11-50,Revenue Financed,,Released,,,,,,,['cyber-security' 'testing' 'smart-mobility' 'connectivity']
DeepKeep,                              1/2021,B2B,1-10,Bootstrapped,,Customer development,,,,,,,['security' 'machine-learning' 'cyber-security' 'artificial-intelligence']
Naval Dome,                              1/2016,"B2B, B2G",11-50,Seed,,Released,Seed,0,1,1,Undisclosed Round,,"['supply-chain' 'transportation' 'security' 'smart-mobility'
 'anomaly-detection' 'monitoring' 'data-protection' 'cyber-security' 'iot'
 'endpoint-security' 'file-security']"
Siemplify,                              1/2015,B2B,51-200,ROUND C+,                 $58M,Released,C+,58M,4,13,C Round,$30M,"['behavior-analytics' 'orchestration' 'forensics' 'monitoring' 'siem'
 'automation' 'incident-response' 'anomaly-detection' 'analysis-software'
 'threat-intelligence' 'soc' 'machine-learning' 'network-security'
 'cyber-security']"
Sepio Systems,                              4/2016,"B2B, B2G",11-50,ROUND A,                 $15M,Released,A,15M,5,7,Undisclosed Round,$4M,"['siem' 'enterprise-security' 'cyber-security' 'endpoint-security' 'usb'
 'network-visibility' 'hardware' 'network-security' 'threat-intelligence'
 'dlp' 'threat-detection' 'connected-devices' 'critical-infastructure']"
KELA Group,                              12/2009,"B2B, B2G",51-200,Revenue Financed,                 $50M,Released,Revenue Financed,50M,1,1,Undisclosed Round,$50M,"['cyber-security' 'data-protection' 'automation' 'analysis-software'
 'dashboard' 'intelligence' 'threat-intelligence' 'enterprise-solutions'
 'enterprise-security' 'national-security' 'anti-fraud' 'mobile-security'
 'counselling-and-integration' 'cyber-intelligence' 'brand-protection'
 'deep-web']"
Noname Security,                              2/2020,B2B,51-200,ROUND B,                 $85M,R&D,B,85M,2,6,B Round,$60M,"['dlp' 'enterprise-security' 'api' 'prevention' 'cyber-security'
 'vulnerability-management' 'network-security']"
SIGA,                              9/2014,B2B,11-50,ROUND B,                 $11.6M,Released,B,11.6M,3,7,B Round,$8.1M,"['artificial-intelligence' 'scada' 'quarantine' 'anomaly-detection'
 'ot-cyber' 'incident-response' 'ot' 'forensics' 'control-systems'
 'cyber-security' 'machine-learning' 'industry-4.0' 'alert-system']"
TrackerDetect,                              12/2020,B2B,1-10,Seed,,Released,Seed,0,1,4,Undisclosed Round,,['cyber-security' 'application-security' 'patent-pending']
StarkWare Industries,                              11/2017,B2B,11-50,ROUND B,                 $111M,Released,B,111M,3,27,B Round,$75M,"['blockchain' 'cyber-security' 'data-protection' 'hardware'
 'privacy-protection' 'cryptography' 'cryptocurrency' 'scalability']"
Xpandion,                              10/2007,B2B,11-50,Revenue Financed,,Released,,,,,,,"['grc' 'access-control' 'authorization' 'erp' 'behavior-analytics' 'bpm'
 'security' 'sap' 'hr' 'hr' 'cyber-security' 'business-processes' 'cloud']"
Cybellum,                              1/2016,B2B,11-50,ROUND A,                 $14.5M,Released,A,14.5M,2,3,A Round,$12M,"['threat-intelligence' 'industry-4.0' 'artificial-intelligence'
 'cyber-security' 'supply-chain' 'iot-security'
 'application-security-testing' 'risk-assesments' 'digital-twin'
 'smart-mobility' 'application-security' 'vulnerability-management'
 'machine-learning']"
Raz-Lee Security,                              10/1983,B2B,11-50,Established,,Released,,,,,,,"['ransomware' 'it' 'threat-detection' 'application-security'
 'cyber-security' 'monitoring' 'business-intelligence' 'insider-threat'
 'firewall' 'compliance' 'encryption' 'gdpr' 'multi-factor-authentication'
 'auditing']"
BGProtect,                              3/2014,"B2B, B2G",1-10,Revenue Financed,,Released,,,,,,,"['network-security' 'data-protection' 'enterprise-solutions' 'saas'
 'ip-networking' 'cyber-security' 'website-security']"
SigmaDots,                              12/2017,B2B,1-10,Bootstrapped,,Alpha,,,,,,,"['big-data' 'home-iot' 'blockchain' 'iot' 'home-security' 'smart-home'
 'artificial-intelligence' 'm2m' 'cyber-security']"
RestCase,                              1/2017,"B2B, B2C",1-10,Bootstrapped,,Beta,,,,,,,"['mobile-applications' 'enterprise-solutions' 'api' 'cloud'
 'software-development' 'cloud-based' 'artificial-intelligence' 'iot'
 'machine-learning' 'productivity' 'web-application' 'web-platform'
 'cyber-security' 'saas']"
OcuCloud,                              5/2016,B2B,1-10,Bootstrapped,,Released,,,,,,,"['insider-threat' 'remote-monitoring' 'network-security'
 'enterprise-security' 'data-protection' 'saas' 'aws' 'cloud-security'
 'cyber-security' 'mobile-security' 'salesforce']"
BLER,                              7/2014,"B2B, B2G",11-50,Revenue Financed,,Released,,,,,,,"['cyber-security' 'threat-detection' 'seaports' 'osint' 'real-time'
 'social-media' 'behavior-analytics' 'business-intelligence'
 'artificial-intelligence' 'data-mining' 'big-data' 'enterprise-solutions'
 'natural-language-processing' 'webint']"
Boardish,                              4/2019,B2B,1-10,Bootstrapped,,Released,,,,,,,"['fintech' 'saas' 'decision-making' 'risk-management' 'grc'
 'software-applications' 'cyber-security' 'financial-reports'
 'business-processes']"
BitMint,                              2/2011,"B2B, B2C, B2G, B2B2C",1-10,Seed,,Customer development,,,,,,,"['fintech' 'cryptocurrency' 'network-security' 'artificial-intelligence'
 'cyber-security' 'iot' 'connected-devices' 'cryptography'
 'data-protection' 'quantum-computing' 'coronavirus'
 'identity-verification' 'payments' 'privacy-protection' 'web-platform'
 'digital-wallet']"
VikiSense,                              5/2012,"B2B, B2G",1-10,Seed,,Released,Seed,0,2,1,Grant,,"['border-security' 'access-control' 'iam' 'biometrics'
 'speech-recognition' 'smart-city' 'multi-factor-authentication'
 'video-analytics' 'cyber-security' 'face-recognition' 'authentication'
 'voice-recognition' 'airports' 'patent-pending' 'identity-verification']"
Aqua Security,                              9/2015,B2B,201-500,ROUND C+,                 $265M,Released,C+,265M,6,12,E Round,$135M,"['docker' 'auditing' 'cloud-security' 'app-development' 'compliance'
 'serverless' 'unicorn' 'micro-segmentation' 'kubernetes' 'monitoring'
 'containers' 'isolation' 'virtualization' 'cyber-security'
 'secure-coding' 'cloud']"
Perception Point,                              7/2015,"B2B, B2G",11-50,ROUND B,                 $41.34M,Released,B,41.34M,5,7,B Round,$28M,"['threat-intelligence' 'enterprise-security' 'phishing' 'network-security'
 'cyber-security' 'malware' 'email' 'messaging-security'
 'security-gateway' 'zero-day' 'incident-response' 'apt' 'cloud-security']"
XM Cyber,                              5/2015,B2B,51-200,ROUND B,                 $49M,Released,B,49M,3,5,B Round,$17M,"['apt' 'cyber-security' 'vulnerability-assessment' 'threat-intelligence'
 'network-security' 'penetration-tests' 'breach-simulation' 'simulation'
 'enterprise-security' 'security-operations' 'automation']"
Webhose,                              12/2014,"B2B, B2C",11-50,Bootstrapped,,Released,,,,,,,"['api' 'cyber-security' 'big-data-analytics' 'business-intelligence'
 'big-data' 'market-research' 'web-platform' 'marketing' 'fintech'
 'data-gathering' 'trading-and-investing' 'web-crawling']"
