,Acculynk (Acquired by First Data),Aeris Secure,Axiado,AllClear ID,Cybereason,Accolade Technology,BeyondTrust,Advanced Technology Group (ATG-NYC),Darktrace,DeepView,CyberMDX,Active Navigation,CNS – Cyber Security Specialists,AVG (Acquired by Avast),A-LIGN,ADF Solutions,Awareness Technologies,Avatier,AvePoint,Avow Security,Balabit (Acquired by One Identity),CYFOR Secure,Allure Security Technology,Encedo,"AvTek Solutions, Inc.",Cybersift,Banyan Security,"Alchemy Security, LLC",Auconet,Beyond Identity,DataGlobal,context information (Acquired by Babcock),Binary Defense,Device Authority,CybeReady,Envelop Risk Analytics,baffle,Allegro Software,Adobe,Egress,Axonius,AlertLogic,Barricade IT Security,Actifile Ltd.,Barracuda,Altitude Networks,CNS,ABD Technology Inc,CyberSmart,ECSC,DigitalXRAID Ltd,AuthenWare,Balbix,Bitdefender,Aligned Technology Solutions,Auth0,Aura,Bitglass,Abira Security,4A Security & Compliance,AaDya Security,ACI Solutions,Biscom,Comtact Ltd.,Data Shepherd,Crypta Labs,CSL DualCom,6Wind,Avanan,Agio,Cypaw,1Kosmos – BlockID,Alt-N Technologies (Acquired by BlackBerry),Absolute,360 Cyber Secure,crossword,Cossack Labs,Cyanre,CyNation,Attivo Networks,Accellion,Cyberfit,ActZero.ai,CYSIAM,e2e-assure ltd,ENTERSEKT,Aware,BinarySec,Axio Global,Beachhead Security,Accurics,Abnormal Security,Allgress,Active Cypher,Accertify,CyberX,Axiad IDS,CybSafe,AUTHEN2CATE,Awake Security,Deep Secure,Beyond Security,Axis Security,Avaria Networks,AlienVault – AT&T,Automox,Codified Security,Akamai Technologies,AIS,Comis,Authoriti Network,Axway,14 Nine,ECS Consulting,Agari,CYREN,Alert Cyber,Agile1,CNS Group,Algosec,Bastille,CyberOwl,Encode UK Limited,Cybertonica Ltd.,Allot Communications,bettercloud,exonar,"CyberArk Software, Inc.",Acalvio Technologies,AfGlobe Communications – ACI Solutions,Bayshore,"Advanced Network Systems, Inc.","BIO-key International, Inc.",AHA Products Group,A10 Networks,CyberQ Group,Axiom Cyber Solutions,Authentic8,Clearswift (Acquired by RUAG),AuthLite,AccessData Group,Cyberseer,Bandura,Elemendar,Corax Cyber Security,eXate,Abacode Cybersecurity & Compliance,"BARR Advisory, P.A.",SCORE
Hudson Rock,87.89,76.6,94.83,100.0,92.28,100.0,95.25,76.6,87.4,87.04,89.43,90.73,76.6,82.24,76.6,83.73,83.73,90.4,90.73,76.6,93.22,76.6,83.73,92.74,76.6,83.91,83.91,76.6,83.73,89.88,92.74,83.73,76.6,93.52,76.6,76.6,92.74,92.74,92.74,100.0,87.4,91.87,76.6,90.05,93.21,84.82,89.43,76.6,87.89,76.6,76.6,93.81,89.43,88.03,76.6,89.88,88.51,87.88,76.6,76.6,88.03,100.0,92.74,76.6,91.19,87.83,83.91,83.91,91.38,76.6,83.73,89.88,83.91,87.83,76.6,87.89,92.74,90.85,83.91,85.71,90.73,76.6,85.58,76.6,76.6,93.81,92.74,100.0,87.89,87.83,86.09,83.91,87.04,77.17,83.73,87.4,89.88,76.6,100.0,85.71,91.99,89.02,91.58,76.6,83.73,90.65,83.73,93.42,76.6,76.6,100.0,94.42,76.6,76.6,83.91,90.46,76.6,76.6,76.6,76.6,83.91,100.0,87.4,100.0,82.24,88.31,100.0,94.42,83.73,87.4,87.89,76.6,89.88,92.74,87.16,76.6,76.6,83.91,94.35,89.88,83.73,76.6,87.4,83.73,87.04,86.09,76.6,76.6,4.391304347826088
Safe-T,83.73,73.73,95.03,100.0,85.84,100.0,92.92,73.73,78.32,78.61,81.71,88.15,73.73,78.96,73.73,73.34,73.34,90.36,88.15,73.73,87.58,73.73,73.34,90.72,73.73,79.28,79.28,73.73,73.34,91.8,90.72,73.34,73.73,93.57,73.73,73.73,90.72,90.72,90.72,100.0,78.32,86.74,73.73,88.14,94.6,80.82,81.71,73.73,83.73,73.73,73.73,88.52,81.71,84.61,73.73,91.8,80.69,79.57,73.73,73.73,84.61,100.0,90.72,73.73,90.08,86.91,79.28,79.28,85.13,73.73,73.34,91.8,79.28,86.91,73.73,83.73,90.72,84.15,79.28,76.26,88.15,73.73,82.02,73.73,73.73,88.52,90.72,100.0,83.73,86.91,77.0,79.28,78.61,73.57,73.34,78.32,91.8,73.73,100.0,76.26,84.93,82.94,91.48,73.73,73.34,83.62,73.34,95.02,73.73,73.73,100.0,90.2,73.73,73.73,79.28,82.97,73.73,73.73,73.73,73.73,79.28,100.0,78.32,100.0,78.96,84.57,100.0,90.2,73.34,78.32,83.73,73.73,91.8,90.72,84.57,73.73,73.73,79.28,90.57,91.8,73.34,73.73,78.32,73.34,78.61,77.0,73.73,73.73,6.892857142857142
Symania,82.56,72.38,90.81,100.0,83.14,100.0,90.0,72.38,76.09,76.42,79.61,84.19,72.38,80.96,72.38,70.96,70.96,88.08,84.19,72.38,84.88,72.38,70.96,84.91,72.38,78.45,78.45,72.38,70.96,89.13,84.91,70.96,72.38,91.17,72.38,72.38,84.91,84.91,84.91,100.0,76.09,84.1,72.38,86.13,89.74,72.31,79.61,72.38,82.56,72.38,72.38,85.97,79.61,85.24,72.38,89.13,79.83,75.81,72.38,72.38,85.24,100.0,84.91,72.38,84.63,84.68,78.45,78.45,79.78,72.38,70.96,89.13,78.45,84.68,72.38,82.56,84.91,80.34,78.45,75.72,84.19,72.38,83.24,72.38,72.38,85.97,84.91,100.0,82.56,84.68,71.48,78.45,76.42,77.62,70.96,76.09,89.13,72.38,100.0,75.72,80.86,79.74,91.25,72.38,70.96,80.7,70.96,91.51,72.38,72.38,100.0,86.59,72.38,72.38,78.45,79.57,72.38,72.38,72.38,72.38,78.45,100.0,76.09,100.0,80.96,79.3,100.0,86.59,70.96,76.09,82.56,72.38,89.13,84.91,81.39,72.38,72.38,78.45,85.16,89.13,70.96,72.38,76.09,70.96,76.42,71.48,72.38,72.38,2.565217391304348
Ottopia,81.89,65.52,84.24,100.0,84.26,100.0,84.87,65.52,85.26,81.4,84.4,79.73,65.52,75.42,65.52,81.37,81.37,78.84,79.73,65.52,86.93,65.52,81.37,83.08,65.52,83.15,83.15,65.52,81.37,79.28,83.08,81.37,65.52,82.31,65.52,65.52,83.08,83.08,83.08,100.0,85.26,85.49,65.52,75.93,84.4,77.87,84.4,65.52,81.89,65.52,65.52,88.19,84.4,78.5,65.52,79.28,80.18,79.7,65.52,65.52,78.5,100.0,83.08,65.52,78.71,73.36,83.15,83.15,80.85,65.52,81.37,79.28,83.15,73.36,65.52,81.89,83.08,82.76,83.15,79.49,79.73,65.52,73.6,65.52,65.52,88.19,83.08,100.0,81.89,73.36,81.28,83.15,81.4,66.8,81.37,85.26,79.28,65.52,100.0,79.49,86.51,84.15,80.29,65.52,81.37,81.41,81.37,82.09,65.52,65.52,100.0,85.19,65.52,65.52,83.15,83.4,65.52,65.52,65.52,65.52,83.15,100.0,85.26,100.0,75.42,78.35,100.0,85.19,81.37,85.26,81.89,65.52,79.28,83.08,77.41,65.52,65.52,83.15,85.2,79.28,81.37,65.52,85.26,81.37,81.4,81.28,65.52,65.52,4.428571428571429
Toka,71.11,59.59,76.72,100.0,78.25,100.0,78.25,59.59,73.86,72.66,73.99,73.46,59.59,71.28,59.59,72.08,72.08,71.0,73.46,59.59,77.35,59.59,72.08,77.23,59.59,69.9,69.9,59.59,72.08,70.99,77.23,72.08,59.59,76.61,59.59,59.59,77.23,77.23,77.23,100.0,73.86,75.98,59.59,74.76,76.46,78.42,73.99,59.59,71.11,59.59,59.59,77.31,73.99,73.09,59.59,70.99,75.17,79.0,59.59,59.59,73.09,100.0,77.23,59.59,79.2,75.93,69.9,69.9,80.16,59.59,72.08,70.99,69.9,75.93,59.59,71.11,77.23,75.16,69.9,75.41,73.46,59.59,72.25,59.59,59.59,77.31,77.23,100.0,71.11,75.93,76.07,69.9,72.66,71.27,72.08,73.86,70.99,59.59,100.0,75.41,76.78,76.01,76.38,59.59,72.08,77.96,72.08,78.7,59.59,59.59,100.0,77.04,59.59,59.59,69.9,79.47,59.59,59.59,59.59,59.59,69.9,100.0,73.86,100.0,71.28,75.28,100.0,77.04,72.08,73.86,71.11,59.59,70.99,77.23,78.26,59.59,59.59,69.9,78.83,70.99,72.08,59.59,73.86,72.08,72.66,76.07,59.59,59.59,6.428571428571429
Sayata Labs,82.46,75.26,92.3,100.0,85.88,100.0,92.69,75.26,79.35,79.75,82.95,85.93,75.26,74.98,75.26,74.18,74.18,90.68,85.93,75.26,87.86,75.26,74.18,85.46,75.26,75.84,75.84,75.26,74.18,91.25,85.46,74.18,75.26,91.26,75.26,75.26,85.46,85.46,85.46,100.0,79.35,87.28,75.26,85.47,91.09,72.3,82.95,75.26,82.46,75.26,75.26,88.99,82.95,82.81,75.26,91.25,81.35,78.42,75.26,75.26,82.81,100.0,85.46,75.26,85.5,81.44,75.84,75.84,83.79,75.26,74.18,91.25,75.84,81.44,75.26,82.46,85.46,84.79,75.84,76.44,85.93,75.26,79.19,75.26,75.26,88.99,85.46,100.0,82.46,81.44,76.38,75.84,79.75,66.13,74.18,79.35,91.25,75.26,100.0,76.44,85.42,82.76,88.2,75.26,74.18,83.34,74.18,91.59,75.26,75.26,100.0,90.49,75.26,75.26,75.84,82.31,75.26,75.26,75.26,75.26,75.84,100.0,79.35,100.0,74.98,80.93,100.0,90.49,74.18,79.35,82.46,75.26,91.25,85.46,79.2,75.26,75.26,75.84,90.06,91.25,74.18,75.26,79.35,74.18,79.75,76.38,75.26,75.26,7.2142857142857135
ForeScout,90.57,79.34,93.55,100.0,94.59,100.0,96.61,79.34,91.04,90.48,93.01,91.1,79.34,84.73,79.34,87.19,87.19,91.07,91.1,79.34,95.01,79.34,87.19,90.99,79.34,86.12,86.12,79.34,87.19,89.05,90.99,87.19,79.34,93.35,79.34,79.34,90.99,90.99,90.99,100.0,91.04,94.82,79.34,90.74,92.7,84.16,93.01,79.34,90.57,79.34,79.34,95.91,93.01,90.89,79.34,89.05,92.12,90.61,79.34,79.34,90.89,100.0,90.99,79.34,90.9,86.87,86.12,86.12,92.71,79.34,87.19,89.05,86.12,86.87,79.34,90.57,90.99,93.0,86.12,89.38,91.1,79.34,88.08,79.34,79.34,95.91,90.99,100.0,90.57,86.87,88.6,86.12,90.48,78.82,87.19,91.04,89.05,79.34,100.0,89.38,94.15,91.54,91.66,79.34,87.19,92.61,87.19,93.37,79.34,79.34,100.0,95.71,79.34,79.34,86.12,93.47,79.34,79.34,79.34,79.34,86.12,100.0,91.04,100.0,84.73,89.52,100.0,95.71,87.19,91.04,90.57,79.34,89.05,90.99,88.48,79.34,79.34,86.12,95.89,89.05,87.19,79.34,91.04,87.19,90.48,88.6,79.34,79.34,5.9642857142857135
Psyber Solutions,83.42,75.85,93.34,100.0,89.2,100.0,93.24,75.85,81.63,83.71,84.85,89.32,75.85,79.28,75.85,79.44,79.44,89.35,89.32,75.85,90.01,75.85,79.44,90.93,75.85,76.96,76.96,75.85,79.44,88.74,90.93,79.44,75.85,91.92,75.85,75.85,90.93,90.93,90.93,100.0,81.63,87.91,75.85,90.71,89.82,78.68,84.85,75.85,83.42,75.85,75.85,89.52,84.85,85.81,75.85,88.74,86.75,84.71,75.85,75.85,85.81,100.0,90.93,75.85,88.1,89.46,76.96,76.96,88.97,75.85,79.44,88.74,76.96,89.46,75.85,83.42,90.93,88.18,76.96,83.62,89.32,75.85,86.06,75.85,75.85,89.52,90.93,100.0,83.42,89.46,80.92,76.96,83.71,79.04,79.44,81.63,88.74,75.85,100.0,83.62,87.33,85.59,91.54,75.85,79.44,89.18,79.44,90.96,75.85,75.85,100.0,92.13,75.85,75.85,76.96,85.81,75.85,75.85,75.85,75.85,76.96,100.0,81.63,100.0,79.28,84.64,100.0,92.13,79.44,81.63,83.42,75.85,88.74,90.93,82.68,75.85,75.85,76.96,90.5,88.74,79.44,75.85,81.63,79.44,83.71,80.92,75.85,75.85,1.0
FirstPoint Mobile Guard,80.82,67.1,90.44,100.0,84.34,100.0,88.75,67.1,77.4,74.44,78.97,82.2,67.1,80.41,67.1,70.82,70.82,84.8,82.2,67.1,84.1,67.1,70.82,86.05,67.1,79.98,79.98,67.1,70.82,87.6,86.05,70.82,67.1,91.17,67.1,67.1,86.05,86.05,86.05,100.0,77.4,82.69,67.1,83.09,90.6,73.94,78.97,67.1,80.82,67.1,67.1,86.24,78.97,82.4,67.1,87.6,77.03,75.97,67.1,67.1,82.4,100.0,86.05,67.1,87.24,83.74,79.98,79.98,80.96,67.1,70.82,87.6,79.98,83.74,67.1,80.82,86.05,79.55,79.98,74.37,82.2,67.1,77.46,67.1,67.1,86.24,86.05,100.0,80.82,83.74,72.78,79.98,74.44,72.55,70.82,77.4,87.6,67.1,100.0,74.37,82.99,78.35,88.22,67.1,70.82,80.76,70.82,90.67,67.1,67.1,100.0,85.53,67.1,67.1,79.98,80.95,67.1,67.1,67.1,67.1,79.98,100.0,77.4,100.0,80.41,77.17,100.0,85.53,70.82,77.4,80.82,67.1,87.6,86.05,82.95,67.1,67.1,79.98,85.41,87.6,70.82,67.1,77.4,70.82,74.44,72.78,67.1,67.1,6.071428571428572
Cydome Security,86.27,74.58,92.52,100.0,90.01,100.0,93.71,74.58,82.68,81.16,85.25,87.77,74.58,84.69,74.58,76.5,76.5,88.72,87.77,74.58,88.12,74.58,76.5,89.29,74.58,82.88,82.88,74.58,76.5,88.62,89.29,76.5,74.58,94.05,74.58,74.58,89.29,89.29,89.29,100.0,82.68,88.72,74.58,89.37,93.78,76.79,85.25,74.58,86.27,74.58,74.58,90.17,85.25,88.62,74.58,88.62,84.36,82.17,74.58,74.58,88.62,100.0,89.29,74.58,91.26,88.26,82.88,82.88,86.74,74.58,76.5,88.62,82.88,88.26,74.58,86.27,89.29,85.88,82.88,80.93,87.77,74.58,84.56,74.58,74.58,90.17,89.29,100.0,86.27,88.26,78.18,82.88,81.16,77.58,76.5,82.68,88.62,74.58,100.0,80.93,88.08,83.77,90.89,74.58,76.5,86.83,76.5,93.5,74.58,74.58,100.0,90.43,74.58,74.58,82.88,86.72,74.58,74.58,74.58,74.58,82.88,100.0,82.68,100.0,84.69,82.92,100.0,90.43,76.5,82.68,86.27,74.58,88.62,89.29,87.11,74.58,74.58,82.88,91.01,88.62,76.5,74.58,82.68,76.5,81.16,78.18,74.58,74.58,6.071428571428572
LYNX.io,81.45,69.86,93.47,100.0,86.23,100.0,91.48,69.86,79.07,78.19,81.08,86.0,69.86,78.49,69.86,74.7,74.7,87.17,86.0,69.86,87.36,69.86,74.7,90.32,69.86,78.71,78.71,69.86,74.7,89.44,90.32,74.7,69.86,92.06,69.86,69.86,90.32,90.32,90.32,100.0,79.07,85.67,69.86,86.14,93.07,78.5,81.08,69.86,81.45,69.86,69.86,88.08,81.08,82.49,69.86,89.44,80.3,79.72,69.86,69.86,82.49,100.0,90.32,69.86,88.29,86.6,78.71,78.71,85.02,69.86,74.7,89.44,78.71,86.6,69.86,81.45,90.32,83.59,78.71,77.58,86.0,69.86,79.82,69.86,69.86,88.08,90.32,100.0,81.45,86.6,77.14,78.71,78.19,73.89,74.7,79.07,89.44,69.86,100.0,77.58,85.33,83.33,90.0,69.86,74.7,84.43,74.7,92.52,69.86,69.86,100.0,89.04,69.86,69.86,78.71,82.78,69.86,69.86,69.86,69.86,78.71,100.0,79.07,100.0,78.49,81.14,100.0,89.04,74.7,79.07,81.45,69.86,89.44,90.32,82.63,69.86,69.86,78.71,88.98,89.44,74.7,69.86,79.07,74.7,78.19,77.14,69.86,69.86,2.565217391304348
Bridgecrew,87.11,67.27,88.5,100.0,87.98,100.0,89.3,67.27,84.86,78.33,84.64,81.63,67.27,88.87,67.27,76.18,76.18,83.34,81.63,67.27,86.36,67.27,76.18,84.88,67.27,90.51,90.51,67.27,76.18,85.18,84.88,76.18,67.27,91.68,67.27,67.27,84.88,84.88,84.88,100.0,84.86,86.52,67.27,82.05,91.37,83.52,84.64,67.27,87.11,67.27,67.27,90.26,84.64,87.81,67.27,85.18,80.43,81.84,67.27,67.27,87.81,100.0,84.88,67.27,91.66,81.93,90.51,90.51,83.61,67.27,76.18,85.18,90.51,81.93,67.27,87.11,84.88,80.98,90.51,79.0,81.63,67.27,79.89,67.27,67.27,90.26,84.88,100.0,87.11,81.93,79.34,90.51,78.33,77.14,76.18,84.86,85.18,67.27,100.0,79.0,87.15,80.96,88.37,67.27,76.18,82.1,76.18,92.88,67.27,67.27,100.0,85.79,67.27,67.27,90.51,88.59,67.27,67.27,67.27,67.27,90.51,100.0,84.86,100.0,88.87,82.33,100.0,85.79,76.18,84.86,87.11,67.27,85.18,84.88,92.78,67.27,67.27,90.51,88.09,85.18,76.18,67.27,84.86,76.18,78.33,79.34,67.27,67.27,5.642857142857142
MediGate,83.24,78.44,90.2,100.0,86.55,100.0,91.97,78.44,77.71,80.19,82.7,88.66,78.44,76.88,78.44,73.2,73.2,88.79,88.66,78.44,84.9,78.44,73.2,87.47,78.44,74.46,74.46,78.44,73.2,86.07,87.47,73.2,78.44,90.27,78.44,78.44,87.47,87.47,87.47,100.0,77.71,86.58,78.44,89.96,90.38,73.88,82.7,78.44,83.24,78.44,78.44,85.84,82.7,85.52,78.44,86.07,83.23,79.82,78.44,78.44,85.52,100.0,87.47,78.44,88.12,86.3,74.46,74.46,85.61,78.44,73.2,86.07,74.46,86.3,78.44,83.24,87.47,85.74,74.46,77.51,88.66,78.44,83.94,78.44,78.44,85.84,87.47,100.0,83.24,86.3,75.98,74.46,80.19,71.7,73.2,77.71,86.07,78.44,100.0,77.51,84.67,81.21,86.84,78.44,73.2,84.94,73.2,89.89,78.44,78.44,100.0,89.51,78.44,78.44,74.46,82.74,78.44,78.44,78.44,78.44,74.46,100.0,77.71,100.0,76.88,83.57,100.0,89.51,73.2,77.71,83.24,78.44,86.07,87.47,81.49,78.44,78.44,74.46,90.15,86.07,73.2,78.44,77.71,73.2,80.19,75.98,78.44,78.44,7.000000000000001
Deceptive Bytes,64.35,57.71,73.86,100.0,74.82,100.0,76.38,57.71,63.95,64.56,65.95,68.65,57.71,72.63,57.71,61.65,61.65,70.47,68.65,57.71,71.03,57.71,61.65,70.39,57.71,60.04,60.04,57.71,61.65,71.44,70.39,61.65,57.71,77.55,57.71,57.71,70.39,70.39,70.39,100.0,63.95,69.07,57.71,76.51,71.64,59.02,65.95,57.71,64.35,57.71,57.71,70.89,65.95,73.06,57.71,71.44,71.95,71.6,57.71,57.71,73.06,100.0,70.39,57.71,75.57,80.17,60.04,60.04,74.21,57.71,61.65,71.44,60.04,80.17,57.71,64.35,70.39,68.35,60.04,71.85,68.65,57.71,74.24,57.71,57.71,70.89,70.39,100.0,64.35,80.17,62.44,60.04,64.56,77.48,61.65,63.95,71.44,57.71,100.0,71.85,68.58,67.6,79.12,57.71,61.65,75.24,61.65,76.82,57.71,57.71,100.0,72.27,57.71,57.71,60.04,72.04,57.71,57.71,57.71,57.71,60.04,100.0,63.95,100.0,72.63,63.95,100.0,72.27,61.65,63.95,64.35,57.71,71.44,70.39,73.14,57.71,57.71,60.04,70.95,71.44,61.65,57.71,63.95,61.65,64.56,62.44,57.71,57.71,6.071428571428572
Cyren,70.36,61.82,87.43,100.0,81.4,100.0,86.07,61.82,71.43,70.6,72.84,77.53,61.82,71.26,61.82,68.07,68.07,81.01,77.53,61.82,81.31,61.82,68.07,82.44,61.82,66.75,66.75,61.82,68.07,85.26,82.44,68.07,61.82,86.95,61.82,61.82,82.44,82.44,82.44,100.0,71.43,77.93,61.82,80.28,85.54,72.42,72.84,61.82,70.36,61.82,61.82,81.33,72.84,74.13,61.82,85.26,74.44,77.22,61.82,61.82,74.13,100.0,82.44,61.82,84.95,83.17,66.75,66.75,82.85,61.82,68.07,85.26,66.75,83.17,61.82,70.36,82.44,76.98,66.75,73.33,77.53,61.82,72.32,61.82,61.82,81.33,82.44,100.0,70.36,83.17,72.59,66.75,70.6,68.73,68.07,71.43,85.26,61.82,100.0,73.33,78.78,77.16,85.12,61.82,68.07,80.85,68.07,88.29,61.82,61.82,100.0,82.92,61.82,61.82,66.75,78.73,61.82,61.82,61.82,61.82,66.75,100.0,71.43,100.0,71.26,73.37,100.0,82.92,68.07,71.43,70.36,61.82,85.26,82.44,78.38,61.82,61.82,66.75,83.19,85.26,68.07,61.82,71.43,68.07,70.6,72.59,61.82,61.82,5.392857142857144
1touch.io,85.37,76.62,94.35,100.0,87.01,100.0,94.16,76.62,80.33,80.88,84.11,88.11,76.62,79.67,76.62,75.08,75.08,92.18,88.11,76.62,89.08,76.62,75.08,88.11,76.62,79.61,79.61,76.62,75.08,92.69,88.11,75.08,76.62,93.66,76.62,76.62,88.11,88.11,88.11,100.0,80.33,88.67,76.62,88.36,93.44,76.34,84.11,76.62,85.37,76.62,76.62,90.21,84.11,86.42,76.62,92.69,83.09,79.95,76.62,76.62,86.42,100.0,88.11,76.62,88.07,85.09,79.61,79.61,84.75,76.62,75.08,92.69,79.61,85.09,76.62,85.37,88.11,85.5,79.61,78.19,88.11,76.62,83.49,76.62,76.62,90.21,88.11,100.0,85.37,85.09,77.15,79.61,80.88,73.01,75.08,80.33,92.69,76.62,100.0,78.19,85.95,84.08,91.87,76.62,75.08,84.44,75.08,94.49,76.62,76.62,100.0,91.46,76.62,76.62,79.61,83.8,76.62,76.62,76.62,76.62,79.61,100.0,80.33,100.0,79.67,83.83,100.0,91.46,75.08,80.33,85.37,76.62,92.69,88.11,83.15,76.62,76.62,79.61,91.0,92.69,75.08,76.62,80.33,75.08,80.88,77.15,76.62,76.62,6.714285714285714
Immue,82.55,71.25,91.74,100.0,88.72,100.0,91.69,71.25,83.03,82.02,84.49,86.27,71.25,78.47,71.25,79.38,79.38,86.27,86.27,71.25,89.21,71.25,79.38,89.58,71.25,79.41,79.41,71.25,79.38,87.06,89.58,79.38,71.25,90.52,71.25,71.25,89.58,89.58,89.58,100.0,83.03,87.56,71.25,86.0,90.76,79.21,84.49,71.25,82.55,71.25,71.25,89.78,84.49,83.13,71.25,87.06,83.73,83.44,71.25,71.25,83.13,100.0,89.58,71.25,87.71,85.32,79.41,79.41,87.62,71.25,79.38,87.06,79.41,85.32,71.25,82.55,89.58,86.46,79.41,81.66,86.27,71.25,80.46,71.25,71.25,89.78,89.58,100.0,82.55,85.32,81.38,79.41,82.02,73.48,79.38,83.03,87.06,71.25,100.0,81.66,88.21,85.52,88.21,71.25,79.38,87.24,79.38,90.22,71.25,71.25,100.0,90.35,71.25,71.25,79.41,86.02,71.25,71.25,71.25,71.25,79.41,100.0,83.03,100.0,78.47,82.31,100.0,90.35,79.38,83.03,82.55,71.25,87.06,89.58,82.72,71.25,71.25,79.41,90.27,87.06,79.38,71.25,83.03,79.38,82.02,81.38,71.25,71.25,1.3478260869565215
ArcusTeam,80.53,73.57,90.42,100.0,86.29,100.0,92.04,73.57,77.09,77.85,80.73,86.11,73.57,76.69,73.57,72.36,72.36,87.01,86.11,73.57,84.62,73.57,72.36,87.25,73.57,74.01,74.01,73.57,72.36,86.62,87.25,72.36,73.57,90.58,73.57,73.57,87.25,87.25,87.25,100.0,77.09,86.28,73.57,87.7,92.91,73.02,80.73,73.57,80.53,73.57,73.57,85.65,80.73,83.1,73.57,86.62,81.05,79.17,73.57,73.57,83.1,100.0,87.25,73.57,88.16,86.32,74.01,74.01,85.23,73.57,72.36,86.62,74.01,86.32,73.57,80.53,87.25,83.87,74.01,76.83,86.11,73.57,80.71,73.57,73.57,85.65,87.25,100.0,80.53,86.32,75.18,74.01,77.85,71.18,72.36,77.09,86.62,73.57,100.0,76.83,84.31,82.75,87.01,73.57,72.36,84.56,72.36,91.63,73.57,73.57,100.0,88.34,73.57,73.57,74.01,82.25,73.57,73.57,73.57,73.57,74.01,100.0,77.09,100.0,76.69,80.35,100.0,88.34,72.36,77.09,80.53,73.57,86.62,87.25,81.25,73.57,73.57,74.01,89.97,86.62,72.36,73.57,77.09,72.36,77.85,75.18,73.57,73.57,5.000000000000001
EasySec Solutions,81.26,65.56,92.49,100.0,86.31,100.0,90.57,65.56,80.52,76.29,80.84,82.0,65.56,81.22,65.56,74.18,74.18,85.85,82.0,65.56,87.44,65.56,74.18,87.05,65.56,82.03,82.03,65.56,74.18,90.32,87.05,74.18,65.56,92.66,65.56,65.56,87.05,87.05,87.05,100.0,80.52,84.85,65.56,82.28,92.42,78.73,80.84,65.56,81.26,65.56,65.56,89.4,80.84,82.18,65.56,90.32,78.36,79.55,65.56,65.56,82.18,100.0,87.05,65.56,89.01,83.59,82.03,82.03,83.79,65.56,74.18,90.32,82.03,83.59,65.56,81.26,87.05,81.02,82.03,76.95,82.0,65.56,76.63,65.56,65.56,89.4,87.05,100.0,81.26,83.59,77.08,82.03,76.29,72.76,74.18,80.52,90.32,65.56,100.0,76.95,85.5,81.95,90.16,65.56,74.18,82.72,74.18,93.62,65.56,65.56,100.0,87.46,65.56,65.56,82.03,84.28,65.56,65.56,65.56,65.56,82.03,100.0,80.52,100.0,81.22,78.83,100.0,87.46,74.18,80.52,81.26,65.56,90.32,87.05,85.54,65.56,65.56,82.03,87.8,90.32,74.18,65.56,80.52,74.18,76.29,77.08,65.56,65.56,5.695652173913044
Source Defense,76.85,66.85,88.11,100.0,83.94,100.0,88.59,66.85,75.48,74.63,77.45,81.23,66.85,76.92,66.85,71.21,71.21,82.9,81.23,66.85,83.06,66.85,71.21,84.55,66.85,73.47,73.47,66.85,71.21,84.78,84.55,71.21,66.85,88.53,66.85,66.85,84.55,84.55,84.55,100.0,75.48,82.6,66.85,83.57,89.37,75.6,77.45,66.85,76.85,66.85,66.85,83.85,77.45,80.07,66.85,84.78,78.25,79.2,66.85,66.85,80.07,100.0,84.55,66.85,87.03,84.71,73.47,73.47,83.81,66.85,71.21,84.78,73.47,84.71,66.85,76.85,84.55,79.86,73.47,76.18,81.23,66.85,77.79,66.85,66.85,83.85,84.55,100.0,76.85,84.71,74.79,73.47,74.63,73.5,71.21,75.48,84.78,66.85,100.0,76.18,81.55,80.66,86.66,66.85,71.21,82.43,71.21,90.55,66.85,66.85,100.0,84.85,66.85,66.85,73.47,81.69,66.85,66.85,66.85,66.85,73.47,100.0,75.48,100.0,76.92,77.9,100.0,84.85,71.21,75.48,76.85,66.85,84.78,84.55,82.36,66.85,66.85,73.47,86.32,84.78,71.21,66.85,75.48,71.21,74.63,74.79,66.85,66.85,7.464285714285714
Cynergy,83.04,70.47,90.91,100.0,89.28,100.0,91.98,70.47,84.46,81.95,85.32,84.11,70.47,80.21,70.47,79.66,79.66,86.58,84.11,70.47,89.85,70.47,79.66,86.45,70.47,80.89,80.89,70.47,79.66,88.08,86.45,79.66,70.47,90.97,70.47,70.47,86.45,86.45,86.45,100.0,84.46,88.09,70.47,84.25,90.06,82.45,85.32,70.47,83.04,70.47,70.47,91.14,85.32,83.86,70.47,88.08,83.86,85.73,70.47,70.47,83.86,100.0,86.45,70.47,89.7,83.08,80.89,80.89,88.66,70.47,79.66,88.08,80.89,83.08,70.47,83.04,86.45,85.67,80.89,82.21,84.11,70.47,79.62,70.47,70.47,91.14,86.45,100.0,83.04,83.08,83.49,80.89,81.95,72.77,79.66,84.46,88.08,70.47,100.0,82.21,88.59,85.42,88.63,70.47,79.66,86.75,79.66,92.41,70.47,70.47,100.0,90.1,70.47,70.47,80.89,89.0,70.47,70.47,70.47,70.47,80.89,100.0,84.46,100.0,80.21,83.58,100.0,90.1,79.66,84.46,83.04,70.47,88.08,86.45,86.89,70.47,70.47,80.89,91.13,88.08,79.66,70.47,84.46,79.66,81.95,83.49,70.47,70.47,3.695652173913044
